[2017-05-08 10:55:28,735: INFO/MainProcess] sync with worker1@SCAEfileshare
[2017-05-09 12:44:14,254: INFO/MainProcess] Received task: tasks.send_mail[988fb286-3674-4ca6-a429-6a7f1b8791b2]  
[2017-05-09 12:44:14,319: INFO/MainProcess] Received task: tasks.send_mail[a502f3f7-2514-4bf4-8943-c888f9f15957]  
[2017-05-09 12:44:14,386: INFO/MainProcess] Received task: tasks.send_mail[8083a3d4-087c-40a4-a05e-0c088d37d12b]  
[2017-05-09 12:44:14,452: INFO/MainProcess] Received task: tasks.send_mail[606e5832-a8ab-4b75-b4e2-c53a8e4235d1]  
[2017-05-09 12:44:14,607: INFO/MainProcess] Received task: tasks.send_mail[8122fd5f-1c29-4693-9cb0-fdc5a619fabb]  
[2017-05-09 12:44:14,675: INFO/MainProcess] Received task: tasks.send_mail[312858ae-f3e4-4f07-b240-9999e0ef8008]  
[2017-05-09 12:44:14,774: INFO/MainProcess] Received task: tasks.send_mail[6b7b0453-f59e-4c2a-b0a7-e6d045a8e822]  
[2017-05-09 12:44:14,842: INFO/MainProcess] Received task: tasks.send_mail[bea3de27-fd5c-4be0-a4b6-609807299c8d]  
[2017-05-09 12:44:14,907: INFO/MainProcess] Received task: tasks.send_mail[14a07631-095e-4748-91b9-d21596bc5ed6]  
[2017-05-09 12:44:14,974: INFO/MainProcess] Received task: tasks.send_mail[b50a90ab-c53a-4a44-88f6-a5e3cd57400f]  
[2017-05-09 12:44:15,043: INFO/MainProcess] Received task: tasks.send_mail[f258f189-9e98-4903-b223-bb612af5fa7e]  
[2017-05-09 12:44:15,110: INFO/MainProcess] Received task: tasks.send_mail[ce3fc0f8-4c38-4471-964a-39d70845c947]  
[2017-05-09 12:44:15,175: INFO/MainProcess] Received task: tasks.send_mail[2412e68b-61ed-4446-9c77-79c367380451]  
[2017-05-09 12:44:15,243: INFO/MainProcess] Received task: tasks.send_mail[c25b257f-1a56-4bce-b917-dcfaa4aa19c2]  
[2017-05-09 12:44:15,321: INFO/MainProcess] Received task: tasks.send_mail[8e5fd965-3ebc-4082-b767-df8246a27f0f]  
[2017-05-09 12:44:15,396: INFO/MainProcess] Received task: tasks.send_mail[31e5a23f-153d-4b2c-b7a7-b63b27ae67c0]  
[2017-05-09 12:44:15,477: INFO/MainProcess] Received task: tasks.send_mail[12384c08-d6ca-46d0-8411-ccfee7356720]  
[2017-05-09 12:44:15,554: INFO/MainProcess] Received task: tasks.send_mail[15b81d5b-6318-4c33-b103-fa77c2c1b633]  
[2017-05-09 12:44:15,631: INFO/MainProcess] Received task: tasks.send_mail[79b7ca59-6bb2-45ac-b04a-f3a5224d8bc8]  
[2017-05-09 12:44:15,698: INFO/MainProcess] Received task: tasks.send_mail[3dbdfcd0-b1da-48e7-a83b-ec9f40a96cc4]  
[2017-05-09 12:44:15,764: INFO/MainProcess] Received task: tasks.send_mail[b0e12756-3c60-453e-990e-b60bd1d61833]  
[2017-05-09 12:44:15,855: INFO/MainProcess] Received task: tasks.send_mail[17111c39-8558-4e7f-bd6c-54e3acd8fd49]  
[2017-05-09 12:44:15,922: INFO/MainProcess] Received task: tasks.send_mail[20947747-ba7d-4127-8315-a419619ec206]  
[2017-05-09 12:44:16,010: INFO/MainProcess] Received task: tasks.send_mail[2cefda28-32df-4f5e-875f-d29c9dc64ca7]  
[2017-05-09 12:44:16,089: INFO/MainProcess] Received task: tasks.send_mail[73aa11d9-f1d6-4085-8436-55261346faf1]  
[2017-05-09 12:44:16,176: INFO/MainProcess] Received task: tasks.send_mail[fd90bbcc-3118-4f56-b56d-02126b2a97fe]  
[2017-05-09 12:44:16,243: INFO/MainProcess] Received task: tasks.send_mail[589a2cd7-6057-494d-b8e2-e861b6003e94]  
[2017-05-09 12:44:16,312: INFO/MainProcess] Received task: tasks.send_mail[989248b5-e3ca-4493-a5bd-c05e664e01b5]  
[2017-05-09 12:44:16,378: INFO/MainProcess] Received task: tasks.send_mail[09f1173a-bae2-4435-8976-bb5fbe986361]  
[2017-05-09 12:44:16,442: INFO/MainProcess] Received task: tasks.send_mail[d4a98dfa-904d-4892-9e48-ab1ecf47c36c]  
[2017-05-09 12:44:16,509: INFO/MainProcess] Received task: tasks.send_mail[657a4a10-ced6-4f06-b1a4-ebf66c27cf9e]  
[2017-05-09 12:44:16,620: INFO/MainProcess] Received task: tasks.send_mail[5606eaed-41cb-4f84-95e5-d7bf33608530]  
[2017-05-09 12:44:17,868: INFO/MainProcess] Received task: tasks.send_mail[c7f9c016-c574-4399-b96c-e257caa14ea8]  
[2017-05-09 12:44:33,300: INFO/MainProcess] Received task: tasks.send_mail[6dc9cf34-4c54-498b-8c6f-95b7318eea86]  
[2017-05-09 12:45:07,996: INFO/MainProcess] Received task: tasks.send_mail[cf0a66dc-a4a7-435b-9047-3aa6ee298ad8]  
[2017-05-09 12:45:20,264: INFO/MainProcess] Received task: tasks.send_mail[edb15dba-7e92-4639-a806-491893587bee]  
[2017-05-09 12:45:30,831: INFO/MainProcess] Received task: tasks.send_mail[d059ab61-cd9e-43d1-a4c1-125ffed908bd]  
[2017-05-09 12:45:43,034: INFO/MainProcess] Received task: tasks.send_mail[77097bd5-56c0-4be1-819b-8f477bbd0e91]  
[2017-05-09 14:31:37,549: INFO/MainProcess] Received task: tasks.send_mail[69ecd23f-eaa0-42d5-bd40-bc484035d084]  
[2017-05-09 14:31:37,831: INFO/MainProcess] Received task: tasks.send_mail[637da00a-b382-422d-a1da-07ca19dc395f]  
[2017-05-09 14:31:38,117: INFO/MainProcess] Received task: tasks.send_mail[b932bfb9-1545-4d82-aa55-0525ca41b714]  
[2017-05-09 14:31:38,342: INFO/MainProcess] Received task: tasks.send_mail[e0008192-8779-4759-9292-407179012b61]  
[2017-05-09 14:31:38,642: INFO/MainProcess] Received task: tasks.send_mail[ceabc70b-fe15-496c-8c57-69ce79556f31]  
[2017-05-09 14:31:38,831: INFO/MainProcess] Received task: tasks.send_mail[c3f343a1-b9dc-474e-9a6c-4b15afa75c33]  
[2017-05-09 14:31:39,087: INFO/MainProcess] Received task: tasks.send_mail[ea9ea12a-4bb9-4a12-902b-42cd806848bd]  
[2017-05-09 14:31:39,310: INFO/MainProcess] Received task: tasks.send_mail[ec927e48-cab8-4f9e-b2d6-ebbf149dbbcd]  
